artid,euringid,english,deutsch,francais
3870,14420,Alpine or Willow Tit,Mönchsmeise (Alpen- oder Weidenmeise),Mésange boréale (alpestre ou des saules)
3880,14370,Long-tailed Tit,Schwanzmeise,Mésange à longue queue
3900,13640,Bearded Reedling,Bartmeise,Panure à moustaches
3910,14790,Eurasian Nuthatch,Kleiber,Sittelle torchepot
3940,14860,Eurasian Treecreeper,Waldbaumläufer,Grimpereau des bois
3950,14870,Short-toed Treecreeper,Gartenbaumläufer,Grimpereau des jardins
3960,14820,Wallcreeper,Mauerläufer,Tichodrome échelette
3970,10500,White-throated Dipper,Wasseramsel,Cincle plongeur
3980,10660,Northern Wren,Zaunkönig,Troglodyte mignon
4000,10990,European Robin,Rotkehlchen,Rougegorge familier
4020,11040,Common Nightingale,Nachtigall,Rossignol philomèle
4041,11061,Red-spotted Bluethroat,Rotsterniges Blaukehlchen,Gorgebleue à miroir roux
4060,11210,Black Redstart,Hausrotschwanz,Rougequeue noir
4070,11220,Common Redstart,Gartenrotschwanz,Rougequeue à front blanc
4090,11370,Whinchat,Braunkehlchen,Tarier des prés
4100,11390,Common Stonechat,Schwarzkehlchen,Tarier pâtre
4120,11460,Northern Wheatear,Steinschmätzer,Traquet motteux
4180,11620,Rufous-tailed Rock-thrush,Steinrötel,Monticole de roche
4190,11660,Blue Rock-thrush,Blaumerle,Monticole bleu
4230,11860,Ring Ouzel,Ringdrossel,Merle à plastron
4240,11870,Eurasian Blackbird,Amsel,Merle noir
4290,11980,Fieldfare,Wacholderdrossel,Grive litorne
4310,12000,Song Thrush,Singdrossel,Grive musicienne
4320,12020,Mistle Thrush,Misteldrossel,Grive draine
4390,12360,Common Grasshopper-warbler,Feldschwirl,Locustelle tachetée
4430,12380,Savi's Warbler,Rohrschwirl,Locustelle luscinioïde
4450,12530,Great Reed-warbler,Drosselrohrsänger,Rousserolle turdoïde
4460,12510,Common Reed-warbler,Teichrohrsänger,Rousserolle effarvatte
4470,12500,Marsh Warbler,Sumpfrohrsänger,Rousserolle verderolle
4520,12600,Melodious Warbler,Orpheusspötter,Hypolaïs polyglotte
4530,12590,Icterine Warbler,Gelbspötter,Hypolaïs ictérine
4570,12770,Eurasian Blackcap,Mönchsgrasmücke,Fauvette à tête noire
4580,12730,Barred Warbler,Sperbergrasmücke,Fauvette épervière
4600,12760,Garden Warbler,Gartengrasmücke,Fauvette des jardins
4610,12750,Common Whitethroat,Dorngrasmücke,Fauvette grisette
4620,12740,Lesser Whitethroat,Klappergrasmücke,Fauvette babillarde
4720,13120,Willow Warbler,Fitis,Pouillot fitis
4730,13110,Common Chiffchaff,Zilpzalp,Pouillot véloce
4740,13070,Western Bonelli's Warbler,Berglaubsänger,Pouillot de Bonelli
4750,13080,Wood Warbler,Waldlaubsänger,Pouillot siffleur
4820,13140,Goldcrest,Wintergoldhähnchen,Roitelet huppé
4830,13150,Common Firecrest,Sommergoldhähnchen,Roitelet à triple bandeau
4840,13350,Spotted Flycatcher,Grauschnäpper,Gobemouche gris
4860,13490,European Pied Flycatcher,Trauerschnäpper,Gobemouche noir
4870,13480,Collared Flycatcher*,Halsbandschnäpper*,Gobemouche à collier*
4900,10840,Dunnock,Heckenbraunelle,Accenteur mouchet
4910,10940,Alpine Accentor,Alpenbraunelle,Accenteur alpin
4930,10110,Meadow Pipit,Wiesenpieper,Pipit farlouse
4950,10050,Tawny Pipit,Brachpieper,Pipit rousseline
4970,10090,Tree Pipit,Baumpieper,Pipit des arbres
5000,10140,Water Pipit,Bergpieper,Pipit spioncelle
5030,10200,White Wagtail,Bachstelze,Bergeronnette grise
5050,10190,Grey Wagtail,Gebirgsstelze,Bergeronnette des ruisseaux
5060,10170,Western Yellow Wagtail,Schafstelze,Bergeronnette printanière
5140,15230,Woodchat Shrike,Rotkopfwürger,Pie-grièche à tête rousse
5160,15150,Red-backed Shrike,Neuntöter,Pie-grièche écorcheur
5180,15820,Common Starling,Star,Étourneau sansonnet
5250,15910,House Sparrow,Haussperling,Moineau domestique
5252,15912,Italian Sparrow*,Italiensperling*,Moineau cisalpin*
5280,15980,Eurasian Tree Sparrow,Feldsperling,Moineau friquet
5290,16110,White-winged Snowfinch,Schneesperling,Niverolle alpine
5320,17170,Hawfinch,Kernbeisser,Grosbec casse-noyaux
5330,16490,European Greenfinch,Grünfink,Verdier d'Europe
5350,16530,European Goldfinch,Stieglitz,Chardonneret élégant
5360,16540,Eurasian Siskin,Erlenzeisig,Tarin des aulnes
5370,16600,Common Linnet,Bluthänfling,Linotte mélodieuse
5390,16630,Lesser Redpoll,Birkenzeisig,Sizerin cabaret
5450,16440,Citril Finch,Zitronenzeisig,Venturon montagnard
5460,16400,European Serin,Girlitz,Serin cini
5480,17100,Eurasian Bullfinch,Gimpel,Bouvreuil pivoine
5500,16790,Common Rosefinch,Karmingimpel,Roselin cramoisi
5520,16660,Red Crossbill,Fichtenkreuzschnabel,Bec-croisé des sapins
5550,16360,Common Chaffinch,Buchfink,Pinson des arbres
5570,18820,Corn Bunting,Grauammer,Bruant proyer
5580,18570,Yellowhammer,Goldammer,Bruant jaune
5640,18580,Cirl Bunting,Zaunammer,Bruant zizi
5670,18660,Ortolan Bunting,Ortolan,Bruant ortolan
5690,18600,Rock Bunting,Zippammer,Bruant fou
5740,18770,Reed Bunting,Rohrammer,Bruant des roseaux
